"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","1980-01-01",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"45",",,0","21",",,0","41",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","1980-01-02",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"41",",,0","30",",,0","37",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","1980-01-03",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"44",",,0","33",",,0","41",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","1980-01-04",,,,,"0.03",",,0,1700","0.0","T,,0","0.0","T,,0",,,"43",",,0","27",",,0","28",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","1980-01-05",,,,,"0.50",",,0,1700",,,,,,,"41",",,0","27",",,0","28",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","1980-01-06",,,,,"0.09",",,0,1700",,,,,,,"35",",,0","22",",,0","30",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","1980-01-07",,,,,"0.05",",,0,1700","0.0",",,0","0.0",",,0",,,"40",",,0","25",",,0","39",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","1980-01-08",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"43",",,0","33",",,0","39",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","1980-01-09",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"40",",,0","32",",,0","32",",,0,1700"
"USC00180193","ANNAPOLIS POLICE BAR, MD US","38.99361","-76.5075","7.6","1980-01-10",,,,,"0.00",",,0,1700","0.0",",,0","0.0",",,0",,,"35",",,0","22",",,0","33",",,0,1700"
