DATE,PRCP,SNOW,TAVG,TMAX,TMIN
1/22/2025,0,,17.5,21,14
1/23/2025,0,,21,29,13
1/24/2025,0,,27,35,19
1/25/2025,0,,27,36,18
1/26/2025,0,,36,45,27
1/27/2025,0,,35,45,25
1/28/2025,0,,38.5,50,27
1/29/2025,0,,45,57,33
1/30/2025,0,,37,45,29
1/31/2025,0.46,,45,53,37
